alignment,stim_name,pressed_key,rt,align_condition,subject_ID
st20,internet17.jpg,down,0.8673970699310303,tiltapproach,aaa000
st4,neutral23.jpg,down,1.551698923110962,tiltapproach,aaa000
st21,internet22.jpg,down,1.5594251155853271,tiltapproach,aaa000
ti17,internet24.jpg,down,1.2921428680419922,tiltapproach,aaa000
ti8,neutral8.jpg,up,3.641770839691162,tiltapproach,aaa000
ti14,internet21.jpg,up,3.780161142349243,tiltapproach,aaa000
ti19,internet8.jpg,up,1.795915126800537,tiltapproach,aaa000
st18,internet3.jpg,down,1.640768051147461,tiltapproach,aaa000
ti20,internet4.jpg,up,4.21747899055481,tiltapproach,aaa000
st23,internet18.jpg,down,1.1947948932647705,tiltapproach,aaa000
st22,internet15.jpg,up,1.0078301429748535,tiltapproach,aaa000
st5,neutral7.jpg,down,1.0312399864196777,tiltapproach,aaa000
ti6,neutral15.jpg,up,1.0873029232025146,tiltapproach,aaa000
st16,internet20.jpg,down,0.9586319923400879,tiltapproach,aaa000
st15,internet10.jpg,up,2.0975019931793213,tiltapproach,aaa000
