alignment,stim_name,pressed_key,rt,align_condition,subject_ID
ti6,neutral18.jpg,down,0.6431628040154465,straightapproach,dule01
ti2,neutral16.jpg,down,3.7491259719827212,straightapproach,dule01
ti19,internet2.jpg,down,0.6724270670092665,straightapproach,dule01
ti23,internet10.jpg,down,0.6328054459881969,straightapproach,dule01
st2,neutral13.jpg,up,1.261262532992987,straightapproach,dule01
st16,internet22.jpg,up,0.8603373899823055,straightapproach,dule01
st18,internet15.jpg,up,1.398824395990232,straightapproach,dule01
st7,neutral2.jpg,up,1.1434585500101093,straightapproach,dule01
st1,neutral1.jpg,up,0.47775353302131407,straightapproach,dule01
ti20,internet13.jpg,down,0.6901053669862449,straightapproach,dule01
ti18,internet8.jpg,up,0.626358658017125,straightapproach,dule01
st10,neutral17.jpg,up,1.5094953250081744,straightapproach,dule01
st14,internet18.jpg,down,2.7542229300015606,straightapproach,dule01
st17,internet7.jpg,up,2.4034511689969804,straightapproach,dule01
st9,neutral12.jpg,up,1.0458662470045965,straightapproach,dule01
