alignment,stim_name,pressed_key,rt,align_condition,subject_ID
st11,neutral22.jpg,up,0.43918395042419434,straightapproach,masc01
st3,neutral14.jpg,up,0.4786090850830078,straightapproach,masc01
ti16,internet13.jpg,down,0.7100141048431396,straightapproach,masc01
st8,neutral7.jpg,up,0.7467961311340332,straightapproach,masc01
st20,internet24.jpg,up,0.4038689136505127,straightapproach,masc01
ti23,internet19.jpg,down,0.5976898670196533,straightapproach,masc01
ti10,neutral9.jpg,down,0.6226270198822021,straightapproach,masc01
st8,neutral7.jpg,down,0.5089099407196045,tiltapproach,masc01
st12,neutral6.jpg,down,0.5452060699462891,tiltapproach,masc01
st16,internet17.jpg,down,0.5185720920562744,tiltapproach,masc01
ti24,internet10.jpg,up,0.3573110103607178,tiltapproach,masc01
ti21,internet16.jpg,up,0.5009288787841797,tiltapproach,masc01
st9,neutral23.jpg,down,0.7875549793243408,tiltapproach,masc01
ti14,internet7.jpg,up,0.5135691165924072,tiltapproach,masc01
ti12,neutral1.jpg,up,0.5304019451141357,tiltapproach,masc01
st10,neutral16.jpg,down,0.6039719581604004,tiltapproach,masc01
st2,neutral12.jpg,down,0.5203189849853516,tiltapproach,masc01
st22,internet6.jpg,up,0.6006779670715332,tiltapproach,masc01
st13,internet1.jpg,up,0.3999030590057373,tiltapproach,masc01
st14,internet18.jpg,up,0.4089469909667969,tiltapproach,masc01
ti4,neutral19.jpg,down,0.5429580211639404,tiltapproach,masc01
ti11,neutral11.jpg,down,0.44681692123413086,tiltapproach,masc01
ti23,internet19.jpg,down,0.4334890842437744,tiltapproach,masc01
st23,internet21.jpg,up,0.5153179168701172,tiltapproach,masc01
ti6,neutral17.jpg,down,0.48415589332580566,tiltapproach,masc01
st15,internet12.jpg,up,0.48580503463745117,tiltapproach,masc01
ti10,neutral9.jpg,down,0.4787619113922119,tiltapproach,masc01
ti5,neutral18.jpg,down,0.5150201320648193,tiltapproach,masc01
st17,internet14.jpg,up,0.7512760162353516,tiltapproach,masc01
st19,internet9.jpg,down,1.0911250114440918,tiltapproach,masc01
st1,neutral15.jpg,down,0.6672759056091309,tiltapproach,masc01
ti2,neutral3.jpg,up,0.5309419631958008,tiltapproach,masc01
st5,neutral2.jpg,down,0.5972549915313721,tiltapproach,masc01
ti15,internet20.jpg,up,0.5839760303497314,tiltapproach,masc01
st3,neutral14.jpg,down,0.43915390968322754,tiltapproach,masc01
ti8,neutral10.jpg,up,0.4765150547027588,tiltapproach,masc01
st20,internet24.jpg,down,0.557854175567627,tiltapproach,masc01
st18,internet3.jpg,down,0.46196794509887695,tiltapproach,masc01
ti13,internet22.jpg,up,0.5983638763427734,tiltapproach,masc01
ti1,neutral21.jpg,up,0.4732038974761963,tiltapproach,masc01
ti22,internet8.jpg,up,0.47280097007751465,tiltapproach,masc01
ti7,neutral8.jpg,up,0.4712979793548584,tiltapproach,masc01
ti20,internet23.jpg,up,0.3654971122741699,tiltapproach,masc01
st6,neutral5.jpg,down,0.6110107898712158,tiltapproach,masc01
ti18,internet11.jpg,up,0.5045890808105469,tiltapproach,masc01
ti16,internet13.jpg,down,0.6622519493103027,tiltapproach,masc01
st7,neutral13.jpg,down,0.6571569442749023,tiltapproach,masc01
ti17,internet5.jpg,up,0.566580057144165,tiltapproach,masc01
st4,neutral24.jpg,down,0.5625958442687988,tiltapproach,masc01
ti9,neutral4.jpg,up,0.6062040328979492,tiltapproach,masc01
st11,neutral22.jpg,down,0.5998940467834473,tiltapproach,masc01
ti3,neutral20.jpg,up,0.45934319496154785,tiltapproach,masc01
st24,internet15.jpg,down,0.8066599369049072,tiltapproach,masc01
st21,internet4.jpg,down,0.7368290424346924,tiltapproach,masc01
ti19,internet2.jpg,up,0.41815900802612305,tiltapproach,masc01
